Points
"p0" 119.000000 292.000000 249.000000
"p1" 110.000000 217.000000 252.000000
"p2" 48.000000 162.000000 277.000000
"p3" 6.000000 170.000000 244.000000
"p4" 362.000000 427.000000 276.000000
"p5" 387.000000 415.000000 205.000000
"p6" 314.000000 425.000000 138.000000
"p7" 248.000000 417.000000 70.000000
"p8" 207.000000 113.000000 450.000000
"p9" 148.000000 178.000000 494.000000
"p10" 148.000000 183.000000 421.000000
"p11" 74.000000 122.000000 461.000000
"p12" 222.000000 111.000000 306.000000
"p13" 207.000000 47.000000 266.000000
"p14" 184.000000 119.000000 317.000000
"p15" 144.000000 61.000000 335.000000
"p16" 118.000000 414.000000 288.000000
"p17" 126.000000 370.000000 364.000000
"p18" 64.000000 426.000000 307.000000
"p19" 32.000000 493.000000 315.000000
"p20" 138.000000 68.000000 199.000000
"p21" 60.000000 54.000000 225.000000
"p22" 34.000000 84.000000 219.000000
"p23" -9.000000 22.000000 281.000000
"p24" 394.000000 179.000000 460.000000
"p25" 447.000000 213.000000 474.000000
"p26" 401.000000 140.000000 397.000000
"p27" 448.000000 81.000000 364.000000
"p28" 419.000000 231.000000 196.000000
"p29" 392.000000 184.000000 117.000000
"p30" 444.000000 253.000000 64.000000
"p31" 427.000000 176.000000 10.000000
"p32" 395.000000 395.000000 160.000000
"p33" 324.000000 469.000000 99.000000
"p34" 287.000000 530.000000 152.000000
"p35" 236.000000 491.000000 187.000000
"p36" 325.000000 438.000000 306.000000
"p37" 325.000000 431.000000 283.000000
"p38" 292.000000 445.000000 227.000000
"p39" 257.000000 506.000000 303.000000
"p40" 352.000000 239.000000 445.000000
"p41" 296.000000 277.000000 402.000000
"p42" 256.000000 302.000000 398.000000
"p43" 244.000000 296.000000 349.000000
"p44" 385.000000 200.000000 259.000000
"p45" 370.000000 134.000000 180.000000
"p46" 333.000000 179.000000 212.000000
"p47" 407.000000 248.000000 284.000000
"p48" 306.000000 237.000000 284.000000
"p49" 311.000000 287.000000 359.000000
"p50" 309.000000 225.000000 377.000000
"p51" 343.000000 149.000000 383.000000
"p52" 168.000000 265.000000 403.000000
"p53" 214.000000 327.000000 412.000000
"p54" 224.000000 373.000000 397.000000
"p55" 229.000000 378.000000 439.000000
"p56" 87.000000 211.000000 57.000000
"p57" 95.000000 193.000000 -11.000000
"p58" 165.000000 143.000000 -72.000000
"p59" 98.000000 222.000000 -97.000000
"p60" 58.000000 257.000000 337.000000
"p61" 94.000000 287.000000 405.000000
"p62" 63.000000 253.000000 359.000000
"p63" 49.000000 216.000000 310.000000
"p64" 235.000000 315.000000 365.000000
"p65" 298.000000 349.000000 434.000000
"p66" 343.000000 411.000000 396.000000
"p67" 322.000000 410.000000 344.000000
"p68" 430.000000 79.000000 267.000000
"p69" 496.000000 52.000000 306.000000
"p70" 549.000000 60.000000 273.000000
"p71" 483.000000 103.000000 229.000000
"p72" 351.000000 398.000000 355.000000
"p73" 366.000000 329.000000 343.000000
"p74" 310.000000 293.000000 341.000000
"p75" 353.000000 310.000000 348.000000
"p76" 256.000000 94.000000 182.000000
"p77" 334.000000 115.000000 127.000000
"p78" 383.000000 53.000000 206.000000
"p79" 341.000000 44.000000 210.000000
"p80" 357.000000 449.000000 284.000000
"p81" 367.000000 501.000000 231.000000
"p82" 362.000000 442.000000 258.000000
"p83" 364.000000 519.000000 335.000000
"p84" 456.000000 224.000000 103.000000
"p85" 471.000000 161.000000 104.000000
