1.03576	1.07841
1.06897	1.02682
1.05936	1.00944
1.06819	1.0587
1.05577	1.00213
1.07035	1.03353
1.02114	1.03502
1.08879	1.01465
1.00537	1.08874
1.04057	1.02378
1.07463	1.02093
1.03451	1.03936
1.02878	1.07633
1.05323	1.01307
1.06438	1.06047
1.04462	1.05766
1.02372	1.05489
1.08871	1.00913
1.0207	1.00216
1.05514	1.01653
1.08403	1.03864
1.01731	1.06234
1.00847	1.00331
1.03836	1.06671
1.05473	1.00069
1.09502	1.07859
1.08851	1.04596
1.05473	1.00687
1.0996	1.07041
1.07167	1.09472
1.09134	1.01545
1.01739	1.09022
1.08127	1.09313
1.01165	1.01637
1.00356	1.04143
1.06906	1.09367
1.05378	1.05242
1.02713	1.01836
1.06669	1.00135
1.07151	1.04946
1.06767	1.05487
1.02375	1.00764
1.08843	1.08649
1.00754	1.0393
1.08755	1.07734
1.0588	1.04862
1.06657	1.03048
1.09539	1.05104
1.0222	1.07674
1.01196	1.05108
1.02526	1.00032
1.01572	1.09776
1.0671	1.06227
1.0685	1.02058
1.06386	1.04988
1.05107	1.09944
1.05956	1.03022
1.01496	1.07132
1.01827	1.03591
1.03778	1.02712
1.04628	1.06121
1.04736	1.00156
1.03474	1.0966
1.03049	1.00948
1.06342	1.07996
1.09191	1.03147
1.05624	1.09253
1.07904	1.00206
1.02918	1.07758
1.03822	1.00359
1.02122	1.01024
1.01797	1.01884
1.04888	1.09629
1.08499	1.04563
1.07502	1.02823
1.06844	1.02639
1.03255	1.07672
1.09821	1.09594
1.09363	1.04545
1.05271	1.00053
1.02499	1.06767
1.08188	1.09135
1.02004	1.07237
1.02106	1.04548
1.04835	1.09837
1.0612	1.0176
1.0131	1.08441
1.09128	1.07545
1.05724	1.01325
1.07829	1.02218
1.0088	1.03807
1.0006	1.05882
1.00624	1.06921
1.00034	1.08979
1.09413	1.04935
1.07017	1.0248
1.03007	1.09535
1.0404	1.08015
1.09337	1.03478
1.08193	1.03251
